id                                   | title                                                        | authors                                                      | doi                         | pub_date       | abstract_text                                               
c1bdad9e-6c6a-1014-9fa9-d2dc5e3e94b5 | Plasticenta: Microplastics in Human Placenta                 | Antonio Ragusa, Alessandro Svelato *, Criselda Santacroce... | 10.1101/2020.07.15.198325   | July_2020      | Microplastics are particles smaller than five millimetres...
5b6e756c-6e86-1014-aaee-909b4042a55e | Effects of Different Microplastics on Nematodes in the So... | Shin Woong Kim *, Walter R. Waldman, Matthias C. Rillig      | 10.1101/2020.07.07.192278   | July_2020      | With an increasing interest in the effects of microplasti...
ef6d6722-6dd3-1014-b1ee-eafa41152515 | Effects of Microplastics and Drought on Ecosystem Functio... | Yudi M. Lozano *, Carlos A. Aguilar-Trigueros, Gabriela O... | 10.1101/2020.07.26.221929   | July_2020      | Microplastics in soils have become an important threat fo...
eabb36fd-7780-1014-8c12-fbba2b01d743 | Defecation in preparation for ecdysis drives microplastic... | Jennie E. Mills †, Marshall W. Ritchie * †, Émile Vadbonc... | 10.64898/2026.01.08.698425  | January_2026   | NULL                                                        
087f0f6f-7f9d-1014-9436-ddfb56709b8a | The attachment rate of  Vibrio anguillarum  strains to mi... | Massot Méril *, Wimmer Lukas, Mhamad Aly Moussawi, Hamet ... | 10.64898/2026.01.20.700601  | January_2026   | NULL                                                        
92c332b0-70de-1014-879d-61bf4cf12a13 | The attachment rate of  Vibrio anguillarum  strains to mi... | Massot Méril *, Wimmer Lukas, Mhamad Aly Moussawi, Hamet ... | 10.64898/2026.01.20.700601  | January_2026   | NULL                                                        
283378e0-7567-1014-aefd-b3b169956f93 | Polyethylene terephthalate (PET) primary degradation prod... | Lena Preuss, Malik Alawi, Albert Dumnitch, Ly Trinh, Wolf... | 10.1101/2025.01.28.635239   | January_2025   | Global plastic pollution in oceans and estuaries is incre...
13e60672-6c9b-1014-af1a-805227656278 | Polyolefin colonization and partial degradation by  Gordo... | Scott A. Coughlin, Adam McFall, Stephen A. Kelly, Juliann... | 10.1101/2024.12.20.629628   | January_2025   | Plastics and microplastics constitute an ever-increasing ...
faa8060f-6fef-1014-9296-8562fd320faf | The disadvantage of having a big mouth: the relationship ... | M.W. Ritchie *, E.R. McColville, J.E. Mills, J.F. Provenc... | 10.1101/2025.01.16.633357   | January_2025   | Plastic pollution is ubiquitous, and animals are exposed ...
6957af29-7479-1014-a2fb-84a8a3e5ea81 | Unveiling Hidden Threats: Introduction of a Routine Workf... | Elisabeth S. Gruber *, Verena Karl, Kristina Duswald, Muk... | 10.1101/2025.01.09.24319030 | January_2025   | Microplastic (MP) pollution has emerged as a significant ...
